UpperBound,LowerBound,Gap,Time,TotalSolves
6.136649658260015e7,4.5648226396702364e7,0.25613764938887745,215.31229305267334,118788
6.136649658260015e7,4.5879638441870816e7,0.2523666659035001,218.4187409877777,120574
6.136649658260015e7,4.592904170188262e7,0.2515616132646337,221.81276392936707,122360
6.136649658260015e7,4.675725808597781e7,0.23806538274444433,225.21736097335815,124146
6.136649658260015e7,4.676240240319639e7,0.23798155333417884,228.61671900749207,125932
6.136649658260015e7,4.7171245455549724e7,0.2313192363514417,232.00027585029602,127718
6.136649658260015e7,4.725667835497297e7,0.2299270613996216,235.06932497024536,129504
6.136649658260015e7,4.727954217523573e7,0.2295544831763889,238.27362394332886,131290
6.136649658260015e7,4.733008691457367e7,0.22873082951921944,241.58173394203186,133076
6.136649658260015e7,4.734322457356394e7,0.22851674431439456,244.9550609588623,134862
6.136649658260015e7,4.762422362951502e7,0.22393771387271288,247.91945791244507,136648
6.136649658260015e7,4.7651963859121256e7,0.22348567194183785,251.3630359172821,138434
6.136649658260015e7,4.766383588209352e7,0.22329221095525079,254.63041186332703,140220
6.136649658260015e7,4.7668860401767105e7,0.22321033371028173,257.9189569950104,142006
6.136649658260015e7,4.767141200126469e7,0.2231687540269092,261.3626489639282,143792
6.136649658260015e7,4.767863975887785e7,0.22305097383713687,264.74314308166504,145578
6.136649658260015e7,4.7682802622364976e7,0.22298313774221626,267.81528997421265,147364
6.136649658260015e7,4.768503936691738e7,0.22294668878917243,270.98394989967346,149150
6.136649658260015e7,4.769098338041185e7,0.22284982789885796,274.4813480377197,150936
6.136649658260015e7,4.7696072262842074e7,0.22276690182822306,277.7582929134369,152722
6.136649658260015e7,4.770016713891057e7,0.22270017362478092,281.18055391311646,154508
6.136649658260015e7,4.770466445465306e7,0.22262688745084333,284.40218901634216,156294
6.136649658260015e7,4.770595815783007e7,0.22260580586318476,287.9048969745636,158080
6.136649658260015e7,4.7706769417210825e7,0.22259258595613554,291.1850469112396,159866
6.136649658260015e7,4.770812660735249e7,0.22257046981431156,294.6994218826294,161652
6.091886282723523e7,4.6890688252045475e7,0.23027636965209608,298.3694670200348,163438
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,301.68272590637207,165224
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,304.8118920326233,167010
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,307.64006900787354,168796
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,310.86442494392395,170582
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,314.29394006729126,172368
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,317.509724855423,174154
6.063043325193546e7,4.6890688252045475e7,0.2266146597171377,320.8453769683838,175940
6.0159829609852e7,4.771127455426722e7,0.20692470600924306,324.20428800582886,177726
6.0159829609852e7,4.7768033118954584e7,0.20598124315279126,327.4962339401245,179512
6.0159829609852e7,4.778379877180232e7,0.20571918036188944,330.6534218788147,181298
6.0159829609852e7,4.78324609963638e7,0.20491029800838112,334.1783628463745,183084
6.0159829609852e7,4.784006611384091e7,0.20478388279865678,337.4634680747986,184870
